Trade_ID,Strategy,Entry_Date,Exit_Date,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum
Strategy_4_T5649,Strategy_4,2010-01-29,2010-01-29,0.0292999999999992,0.5052223742401727,0.010444748480345378,110.58647861723585,180.8924684793311,556.1725769096641
Strategy_4_T5651,Strategy_4,2010-02-01,2010-02-01,-0.1061999999999994,0.5404358851422325,0.08087177028446502,111.23451538193284,169.07936294576987,544.3594713761029
Strategy_4_T5652,Strategy_4,2010-02-04,2010-02-04,0.1825000000000001,0.5895672812123716,0.17913456242474313,108.87189427522058,188.94848365099764,564.2285920813307
Strategy_4_T5660,Strategy_4,2010-02-11,2010-02-11,-0.1218000000000003,0.3589178816706267,-0.28216423665874657,112.84571841626615,175.20387514789638,550.4839835782294
Strategy_4_T5665,Strategy_4,2010-02-16,2010-02-16,-0.0781999999999998,0.5432706857649605,0.08654137152992103,110.0967967156459,166.59430564473288,541.8744140750659
Strategy_4_T5689,Strategy_4,2010-03-25,2010-03-25,0.0876999999999998,0.4486094502988295,-0.10278109940234104,108.3748828150132,176.09878286760951,551.3788912979426
Strategy_1_T5696,Strategy_1,2010-04-02,2010-04-02,0.0175,0.33907265496273553,-0.32185469007452894,110.27577825958852,130.48464593942433,553.3087174174854
Strategy_3_T5704,Strategy_3,2010-04-16,2010-04-16,0.0819999999999998,0.3463152730951052,-0.30736945380978964,110.66174348349708,122.62097589831323,562.3829803831321
Strategy_4_T5709,Strategy_4,2010-04-20,2010-04-20,-0.0604000000000004,0.3851806799680476,-0.22963864006390478,112.47659607662644,169.30519646458123,555.5893939801039
Strategy_2_T5710,Strategy_2,2010-04-21,2010-04-21,0.0182999999999999,0.6140289368680552,0.2280578737361103,111.11787879602078,135.21203285975224,557.622851162071
Strategy_2_T5747,Strategy_2,2010-05-25,2010-05-25,-0.0114,0.4404673035668999,-0.11906539286620021,111.5245702324142,133.94065275910273,556.3514710614215
Strategy_2_T5748,Strategy_2,2010-05-26,2010-05-26,-0.0657999999999994,0.5102880009445115,0.020576001889023088,111.27029421228431,126.6190673999345,549.0298857022533
Strategy_4_T5754,Strategy_4,2010-06-04,2010-06-04,0.0998000000000001,0.5553774211384901,0.11075484227698018,109.80597714045066,180.26383298319823,559.9885222208703
Strategy_4_T5762,Strategy_4,2010-06-17,2010-06-17,-0.0280000000000004,0.3673992280441365,-0.265201543911727,111.99770444417408,177.12789725876132,556.8525864964333
Strategy_2_T5768,Strategy_2,2010-06-30,2010-06-30,-0.0077999999999995,0.5321493457330628,0.06429869146612566,111.37051729928667,125.75037736500012,555.9838964614991
Strategy_4_T5780,Strategy_4,2010-07-16,2010-07-16,0.0605000000000002,0.3838281852793611,-0.23234362944127784,111.19677929229982,183.85530240594548,562.7113016086831
Strategy_2_T5792,Strategy_2,2010-08-16,2010-08-16,-0.0161999999999995,0.4555894604883175,-0.088821079023365,112.54226032173663,123.92719274778804,560.8881169914711
Strategy_4_T5809,Strategy_4,2010-08-31,2010-08-31,0.0253999999999994,0.5789752208464529,0.15795044169290584,112.17762339829422,186.70461404026207,563.7374286257876
Strategy_4_T5814,Strategy_4,2010-09-08,2010-09-08,-0.0370999999999996,0.434674130585187,-0.130651738829626,112.74748572515753,182.52168231985877,559.5544969053843
Strategy_1_T5816,Strategy_1,2010-09-15,2010-09-15,0.0149999999999996,0.3818642194526502,-0.2362715610946996,111.91089938107687,132.16330943014043,561.2331603961004
Strategy_4_T5817,Strategy_4,2010-09-16,2010-09-16,0.0503,0.4609849029622863,-0.07803019407542744,112.24663207922009,188.16768791344353,566.8791659896852
