Trade_ID,Strategy,Profit_Loss,Predicted_Confidence,Rescaled_Confidence,Allocated_Capital,Strat_Cum,Total_Cum,Entry_Date
Strategy_4_T3207,strategy_1,0.0679999999999996,0.5804091141286852,0.16081822825737047,29.06385878563775,41.85779440593254,118.23177753997436,2000-11-07
Strategy_2_T3283,strategy_2,0.0963000000000002,0.593861763088432,0.18772352617686394,29.55794438499359,29.506775685608847,121.07820758424924,2001-02-08
Strategy_4_T3284,strategy_1,0.0963000000000002,0.5660699440116307,0.13213988802326138,29.55794438499359,44.70422445020743,123.92463762852414,2001-02-08
Strategy_4_T3297,strategy_1,0.0285000000000001,0.400990232777268,-0.19801953444546405,30.981159407131035,45.587187493310665,124.80760067162737,2001-03-05
Strategy_4_T3307,strategy_1,0.0809999999999995,0.5836405710374936,0.16728114207498712,31.201900167906842,48.1145414069111,127.3349545852278,2001-03-14
Strategy_4_T3309,strategy_1,-0.0044999999999992,0.44409929016437777,-0.11180141967124446,31.83373864630695,47.97128958300274,127.19170276131945,2001-03-15
Strategy_2_T3315,strategy_2,0.0324999999999997,0.5084923342940112,0.01698466858802239,31.797925690329862,30.540208270544557,128.22513534625517,2001-03-21
Strategy_2_T3316,strategy_2,0.0066000000000006,0.5379475988198027,0.0758951976396054,32.05628383656379,30.751779743865896,128.4367068195765,2001-03-22
Strategy_2_T3320,strategy_2,-0.0160999999999997,0.49979080761496003,-0.00041838477007993813,32.109176704894125,30.23482199891711,127.91974907462772,2001-03-26
Strategy_4_T3337,strategy_1,0.1019999999999985,0.45994178070711467,-0.08011643858577067,31.97993726865693,51.2332431844057,131.18170267603068,2001-04-17
Strategy_4_T3352,strategy_1,-0.0500000000000007,0.4506447801866103,-0.09871043962677939,32.79542566900767,49.593471900955294,129.54193139258027,2001-05-04
Strategy_2_T3379,strategy_2,-0.0425000000000004,0.45524517815441623,-0.08950964369116754,32.38548284814507,28.858438977870932,128.1655483715341,2001-06-14
Strategy_2_T3383,strategy_2,0.0063999999999992,0.5714818504801308,0.14296370096026156,32.041387092883525,29.06350385526536,128.37061324892852,2001-06-20
Strategy_2_T3395,strategy_2,0.0075000000000002,0.5205208444987471,0.041041688997494274,32.09265331223213,29.30419875510711,128.61130814877026,2001-07-09
Strategy_4_T3396,strategy_1,0.0075000000000002,0.5185558417731533,0.03711168354630656,32.09265331223213,49.83416680079704,128.85200304861203,2001-07-09
Strategy_4_T3400,strategy_1,-0.0441000000000002,0.4635946285085063,-0.0728107429829874,32.21300076215301,48.41357346718609,127.43140971500107,2001-07-11
Strategy_2_T3405,strategy_2,-0.0585000000000004,0.5672957060688515,0.13459141213770298,31.857852428750267,27.440514388025207,125.56772534791916,2001-07-17
Strategy_2_T3418,strategy_2,-0.0021000000000004,0.4457665590100697,-0.10846688197986065,31.39193133697979,27.374591332217538,125.50180229211149,2001-08-01
Strategy_2_T3428,strategy_2,-0.0378000000000007,0.4309440712067098,-0.1381118575865804,31.375450573027873,26.188599300557062,124.31581026045102,2001-08-10
Strategy_2_T3434,strategy_2,0.002600000000001,0.569274778740975,0.13854955748194997,31.078952565112754,26.269404577226386,124.39661553712034,2001-08-20
Strategy_2_T3440,strategy_2,-0.0422000000000011,0.5400773218663841,0.08015464373276826,31.099153884280085,24.95702028330973,123.08423124320369,2001-08-23
Strategy_2_T3443,strategy_2,0.0549999999999997,0.5135571125974857,0.02711422519497142,30.771057810800922,26.649428462903774,124.77663942279773,2001-08-27
Strategy_2_T3448,strategy_2,0.0296000000000002,0.5243037772976824,0.04860755459536481,31.194159855699432,27.572775594632482,125.69998655452643,2001-08-30
Strategy_2_T3460,strategy_2,0.0650000000000012,0.570880457470905,0.14176091494180998,31.424996638631608,29.615400376143576,127.74261133603753,2001-09-10
Strategy_2_T3465,strategy_2,-0.0299999999999993,0.5716279629088441,0.1432559258176882,31.93565283400938,28.657330791123318,126.78454175101727,2001-09-13
Strategy_2_T3473,strategy_2,0.0536999999999991,0.5839499397688674,0.1678998795377349,31.696135437754318,30.359413264130698,128.48662422402467,2001-09-20
Strategy_4_T3496,strategy_1,-0.0151000000000003,0.46266504824723864,-0.07466990350552272,32.12165605600617,47.92853646074039,128.00158721757896,2001-10-09
Strategy_4_T3529,strategy_1,0.0714000000000005,0.49705627729082413,-0.005887445418351733,32.00039680439474,50.21336479257419,130.28641554941277,2001-11-12
Strategy_2_T3528,strategy_2,0.0714000000000005,0.5069370387042584,0.013874077408516872,32.00039680439474,32.6442415959645,132.57124388124657,2001-11-12
Strategy_4_T3542,strategy_1,0.0680000000000013,0.48833033689595523,-0.02333932620808954,33.14281097031164,52.467075938555425,134.8249550272278,2001-11-22
Strategy_4_T3549,strategy_1,-0.1044,0.5694690427672862,0.13893808553457232,33.70623875680695,48.94814461234478,131.30602370101715,2001-11-28
Strategy_2_T3567,strategy_2,0.6999999999999993,0.5935955782936996,0.18719115658739915,32.82650592525429,55.622795743642484,154.2845778486951,2001-12-14
Strategy_2_T3582,strategy_2,0.1799999999999997,0.5773147199392621,0.15462943987852418,38.57114446217378,62.56560174683375,161.22738385188637,2001-12-28
Strategy_2_T3590,strategy_2,-0.2216999999999984,0.47394647677211116,-0.052107046455777684,40.30684596297159,53.629573996843014,152.29135610189564,2002-01-04
Strategy_4_T3621,strategy_1,-0.1550000000000011,0.4802873836118667,-0.03942523277626664,38.07283902547391,43.04685456339628,146.39006605294716,2002-02-20
Strategy_4_T3624,strategy_1,-0.0449999999999999,0.518746064104722,0.03749212820944403,36.59751651323679,41.39996632030063,144.74317780985152,2002-02-26
Strategy_4_T3684,strategy_1,0.084999999999999,0.39564623768395346,-0.20870752463209308,36.18579445246288,44.47575884875994,147.81897033831083,2002-06-12
Strategy_2_T3685,strategy_2,0.2100000000000008,0.532260709372224,0.06452141874444806,36.95474258457771,61.39006993960436,155.57946628107214,2002-06-13
Strategy_4_T3703,strategy_1,-0.0937999999999998,0.5635356726701091,0.12707134534021813,38.894866570268036,40.82742036446881,151.93112779678103,2002-06-28
Strategy_2_T3704,strategy_2,-0.2995999999999998,0.5453529832291464,0.09070596645829276,37.98278194919526,50.01042846762547,140.55148632480214,2002-07-01
Strategy_4_T3708,strategy_1,-0.1654,0.4084100699816756,-0.18317986003664877,35.137871581200535,35.01561640493824,134.7396823652716,2002-07-09
Strategy_4_T3715,strategy_1,0.1346000000000007,0.43871964980256556,-0.12256070039486888,33.6849205913179,39.54960671652965,139.273672676863,2002-07-23
Strategy_4_T3723,strategy_1,-0.1509,0.4336919063057172,-0.13261618738856562,34.81841816921575,34.295507414795,134.01957337512835,2002-07-29
Strategy_4_T3733,strategy_1,0.1137999999999994,0.5321783319278238,0.06435666385564764,33.504893343782086,38.10836427731738,137.83243023765073,2002-08-06
Strategy_2_T3745,strategy_2,-0.0399999999999991,0.6050635265504123,0.21012705310082458,34.45810755941268,48.63210416524899,136.45410593527424,2002-08-16
Strategy_4_T3753,strategy_1,-0.0549999999999997,0.4920581913040161,-0.015883617391967753,34.11352648381856,36.23212032070737,134.57786197866423,2002-08-22
Strategy_4_T3761,strategy_1,-0.075000000000001,0.44692463569119373,-0.10615072861761254,33.64446549466606,33.708785408607376,132.05452706656425,2002-09-11
Strategy_4_T3768,strategy_1,0.0599999999999987,0.4046969556196383,-0.19060608876072338,33.01363176664106,35.6896033146058,134.03534497256265,2002-09-23
Strategy_4_T3776,strategy_1,0.0175,0.42616166288055857,-0.14767667423888287,33.508836243140664,36.27600794886076,134.62174960681762,2002-10-08
